date,komoditas,price
2022-06-24,telur,29241.176470588234
2022-06-27,beras,11747.058823529413
2022-06-27,gula,15267.64705882353
2022-06-27,minyak,23275.0
2022-06-27,telur,29147.058823529413
2022-06-28,beras,11798.529411764706
2022-06-28,gula,15275.0
2022-06-28,minyak,23198.529411764706
2022-06-28,telur,29147.058823529413
2022-06-29,beras,11747.058823529413
2022-06-29,gula,15279.411764705883
2022-06-29,minyak,23172.058823529413
2022-06-29,telur,29144.117647058825
2022-06-30,beras,11745.588235294117
2022-06-30,gula,15272.058823529413
2022-06-30,minyak,23129.41176470588
2022-06-30,telur,29102.941176470587
2022-07-01,beras,11747.058823529413
2022-07-01,gula,15267.64705882353
2022-07-01,minyak,23076.470588235294
2022-07-01,telur,29072.058823529413
2022-07-02,beras,11747.058823529413
2022-07-02,gula,15267.64705882353
2022-07-02,minyak,23076.470588235294
2022-07-02,telur,29072.058823529413
2022-07-03,beras,11747.058823529413
2022-07-03,gula,15267.64705882353
2022-07-03,minyak,23076.470588235294
2022-07-03,telur,29072.058823529413
2022-07-04,beras,11750.0
2022-07-04,gula,15247.058823529413
2022-07-04,minyak,22892.647058823528
2022-07-04,telur,29085.29411764706
2022-07-05,beras,11755.882352941177
2022-07-05,gula,15245.588235294117
2022-07-05,minyak,22838.235294117647
2022-07-05,telur,29138.235294117647
2022-07-06,beras,11754.411764705883
2022-07-06,gula,15241.176470588236
2022-07-06,minyak,22741.176470588234
2022-07-06,telur,29100.0
2022-07-07,beras,11747.058823529413
2022-07-07,gula,15229.411764705883
2022-07-07,minyak,22726.470588235294
2022-07-07,telur,29092.647058823528
2022-07-08,beras,11751.470588235294
2022-07-08,gula,15233.823529411764
2022-07-08,minyak,22667.647058823528
2022-07-08,telur,29238.235294117647
2022-07-09,beras,11751.470588235294
2022-07-09,gula,15233.823529411764
2022-07-09,minyak,22667.647058823528
2022-07-09,telur,29238.235294117647
2022-07-10,beras,11751.470588235294
2022-07-10,gula,15233.823529411764
2022-07-10,minyak,22667.647058823528
2022-07-10,telur,29238.235294117647
2022-07-11,beras,11748.529411764706
2022-07-11,gula,15229.411764705883
2022-07-11,minyak,22541.176470588234
2022-07-11,telur,29311.764705882353
2022-07-12,beras,11760.29411764706
2022-07-12,gula,15225.0
2022-07-12,minyak,22450.0
2022-07-12,telur,29342.647058823528
2022-07-13,beras,11745.588235294117
2022-07-13,gula,15222.058823529413
2022-07-13,minyak,22376.470588235294
2022-07-13,telur,29397.058823529413
2022-07-14,beras,11747.058823529413
2022-07-14,gula,15225.0
2022-07-14,minyak,22310.29411764706
2022-07-14,telur,29347.058823529413
2022-07-15,beras,11763.235294117647
2022-07-15,gula,15223.529411764706
2022-07-15,minyak,22236.764705882353
2022-07-15,telur,29405.882352941175
2022-07-18,beras,11751.470588235294
2022-07-18,gula,15198.529411764706
2022-07-18,minyak,21977.941176470587
2022-07-18,telur,29295.58823529412
2022-07-19,beras,11748.529411764706
2022-07-19,gula,15188.235294117647
2022-07-19,minyak,21813.235294117647
2022-07-19,telur,29298.529411764706
