date,komoditas,price,year,month,day,lag_1,lag_7,rolling_mean_7
2022-06-24,beras,11748.529411764706,2022,6,24,11748.529411764706,11744.117647058823,11745.378151260504
2022-06-27,beras,11747.058823529413,2022,6,27,11748.529411764706,11744.117647058823,11745.79831932773
2022-06-28,beras,11798.529411764706,2022,6,28,11747.058823529413,11744.117647058823,11753.57142857143
2022-06-29,beras,11747.058823529413,2022,6,29,11798.529411764706,11744.117647058823,11753.991596638656
2022-06-30,beras,11745.588235294117,2022,6,30,11747.058823529413,11739.70588235294,11754.83193277311
2022-07-01,beras,11747.058823529413,2022,7,1,11745.588235294117,11748.529411764706,11754.621848739496
2022-07-02,beras,11747.058823529413,2022,7,2,11747.058823529413,11748.529411764706,11754.411764705883
2022-07-03,beras,11747.058823529413,2022,7,3,11747.058823529413,11748.529411764706,11754.20168067227
2022-07-04,beras,11750.0,2022,7,4,11747.058823529413,11747.058823529413,11754.621848739496
2022-07-05,beras,11755.882352941177,2022,7,5,11750.0,11798.529411764706,11748.529411764704
2022-07-06,beras,11754.411764705883,2022,7,6,11755.882352941177,11747.058823529413,11749.579831932773
2022-07-07,beras,11747.058823529413,2022,7,7,11754.411764705883,11745.588235294117,11749.789915966388
2022-07-08,beras,11751.470588235294,2022,7,8,11747.058823529413,11747.058823529413,11750.420168067229
2022-07-09,beras,11751.470588235294,2022,7,9,11751.470588235294,11747.058823529413,11751.050420168069
2022-07-10,beras,11751.470588235294,2022,7,10,11751.470588235294,11747.058823529413,11751.680672268907
2022-07-11,beras,11748.529411764706,2022,7,11,11751.470588235294,11750.0,11751.470588235296
2022-07-12,beras,11760.29411764706,2022,7,12,11748.529411764706,11755.882352941177,11752.100840336136
2022-07-13,beras,11745.588235294117,2022,7,13,11760.29411764706,11754.411764705883,11750.840336134454
2022-07-14,beras,11747.058823529413,2022,7,14,11745.588235294117,11747.058823529413,11750.840336134454
2022-07-15,beras,11763.235294117647,2022,7,15,11747.058823529413,11751.470588235294,11752.52100840336
2022-07-18,beras,11751.470588235294,2022,7,18,11763.235294117647,11751.470588235294,11752.52100840336
2022-07-19,beras,11748.529411764706,2022,7,19,11751.470588235294,11751.470588235294,11752.100840336134
2022-07-20,beras,11751.470588235294,2022,7,20,11748.529411764706,11748.529411764706,11752.52100840336
2022-07-21,beras,11754.411764705883,2022,7,21,11751.470588235294,11760.29411764706,11751.680672268907
2022-07-22,beras,11773.529411764706,2022,7,22,11754.411764705883,11745.588235294117,11755.672268907565
2022-07-25,beras,11770.588235294117,2022,7,25,11773.529411764706,11747.058823529413,11759.03361344538
2022-07-26,beras,11776.470588235294,2022,7,26,11770.588235294117,11763.235294117647,11760.924369747898
2022-07-27,beras,11772.058823529413,2022,7,27,11776.470588235294,11751.470588235294,11763.865546218487
2022-07-28,beras,11772.058823529413,2022,7,28,11772.058823529413,11748.529411764706,11767.226890756301
2022-07-29,beras,11780.882352941177,2022,7,29,11772.058823529413,11751.470588235294,11771.42857142857
2022-07-30,beras,11780.882352941177,2022,7,30,11780.882352941177,11754.411764705883,11775.210084033615
2022-07-31,beras,11780.882352941177,2022,7,31,11780.882352941177,11773.529411764706,11776.260504201682
2022-08-01,beras,11782.35294117647,2022,8,1,11780.882352941177,11770.588235294117,11777.941176470587
2022-08-02,beras,11788.235294117647,2022,8,2,11782.35294117647,11776.470588235294,11779.621848739496
2022-08-03,beras,11794.117647058823,2022,8,3,11788.235294117647,11772.058823529413,11782.773109243699
2022-08-04,beras,11798.529411764706,2022,8,4,11794.117647058823,11772.058823529413,11786.55462184874
2022-08-05,beras,11792.64705882353,2022,8,5,11798.529411764706,11780.882352941177,11788.235294117649
2022-08-06,beras,11792.64705882353,2022,8,6,11792.64705882353,11780.882352941177,11789.915966386554
2022-08-07,beras,11792.64705882353,2022,8,7,11792.64705882353,11780.882352941177,11791.596638655463
2022-08-08,beras,11807.35294117647,2022,8,8,11792.64705882353,11782.35294117647,11795.16806722689
2022-08-09,beras,11785.29411764706,2022,8,9,11807.35294117647,11788.235294117647,11794.747899159664
2022-08-10,beras,11816.176470588236,2022,8,10,11785.29411764706,11794.117647058823,11797.899159663866
2022-08-11,beras,11823.529411764706,2022,8,11,11816.176470588236,11798.529411764706,11801.470588235292
2022-08-12,beras,11832.35294117647,2022,8,12,11823.529411764706,11792.64705882353,11807.142857142857
2022-08-13,beras,11832.35294117647,2022,8,13,11832.35294117647,11792.64705882353,11812.815126050422
2022-08-14,beras,11832.35294117647,2022,8,14,11832.35294117647,11792.64705882353,11818.487394957981
2022-08-15,beras,11847.058823529413,2022,8,15,11832.35294117647,11807.35294117647,11824.159663865546
2022-08-16,beras,11852.941176470587,2022,8,16,11847.058823529413,11785.29411764706,11833.823529411764
2022-08-17,beras,11766.666666666666,2022,8,17,11852.941176470587,11816.176470588236,11826.750700280112
2022-08-18,beras,11857.35294117647,2022,8,18,11766.666666666666,11823.529411764706,11831.582633053224
2022-08-19,beras,11864.70588235294,2022,8,19,11857.35294117647,11832.35294117647,11836.204481792718
2022-08-22,beras,11873.529411764706,2022,8,22,11864.70588235294,11832.35294117647,11842.086834733893
2022-08-23,beras,11875.0,2022,8,23,11873.529411764706,11832.35294117647,11848.179271708683
2022-08-24,beras,11883.823529411764,2022,8,24,11875.0,11847.058823529413,11853.43137254902
2022-08-25,beras,11900.0,2022,8,25,11883.823529411764,11852.941176470587,11860.15406162465
2022-08-26,beras,11910.29411764706,2022,8,26,11900.0,11766.666666666666,11880.672268907563
2022-08-27,beras,11910.29411764706,2022,8,27,11910.29411764706,11857.35294117647,11888.235294117649
2022-08-28,beras,11910.29411764706,2022,8,28,11910.29411764706,11864.70588235294,11894.747899159664
2022-08-29,beras,11898.529411764706,2022,8,29,11910.29411764706,11873.529411764706,11898.319327731093
2022-08-30,beras,11920.588235294117,2022,8,30,11898.529411764706,11875.0,11904.831932773111
2022-08-31,beras,11925.0,2022,8,31,11920.588235294117,11883.823529411764,11910.714285714286
